date,code,ticker,name,market,sector33_code,sector33,sector17_code,sector17,size_code,size,is_equity
,1301,1301.T,合成1301,スタンダード（内国株式）,,食料品,,,,,True
,1308,1308.T,合成1308,プライム（内国株式）,,化学,,,,,True
,1315,1315.T,合成1315,プライム（内国株式）,,機械,,,,,True
,1322,1322.T,合成1322,スタンダード（内国株式）,,電気機器,,,,,True
,1329,1329.T,合成1329,プライム（内国株式）,,小売業,,,,,True
,1336,1336.T,合成1336,プライム（内国株式）,,情報・通信業,,,,,True
,1343,1343.T,合成1343,スタンダード（内国株式）,,サービス業,,,,,True
,1350,1350.T,合成1350,プライム（内国株式）,,食料品,,,,,True
,1357,1357.T,合成1357,プライム（内国株式）,,化学,,,,,True
,1364,1364.T,合成1364,スタンダード（内国株式）,,機械,,,,,True
,1371,1371.T,合成1371,プライム（内国株式）,,電気機器,,,,,True
,1378,1378.T,合成1378,プライム（内国株式）,,小売業,,,,,True
,1385,1385.T,合成1385,スタンダード（内国株式）,,情報・通信業,,,,,True
,1392,1392.T,合成1392,プライム（内国株式）,,サービス業,,,,,True
,1399,1399.T,合成1399,プライム（内国株式）,,食料品,,,,,True
,1406,1406.T,合成1406,スタンダード（内国株式）,,化学,,,,,True
,1413,1413.T,合成1413,プライム（内国株式）,,機械,,,,,True
,1420,1420.T,合成1420,プライム（内国株式）,,電気機器,,,,,True
,1427,1427.T,合成1427,スタンダード（内国株式）,,小売業,,,,,True
,1434,1434.T,合成1434,プライム（内国株式）,,情報・通信業,,,,,True
,1441,1441.T,合成1441,プライム（内国株式）,,サービス業,,,,,True
,1448,1448.T,合成1448,スタンダード（内国株式）,,食料品,,,,,True
,1455,1455.T,合成1455,プライム（内国株式）,,化学,,,,,True
,1462,1462.T,合成1462,プライム（内国株式）,,機械,,,,,True
,1469,1469.T,合成1469,スタンダード（内国株式）,,電気機器,,,,,True
,1476,1476.T,合成1476,プライム（内国株式）,,小売業,,,,,True
,1483,1483.T,合成1483,プライム（内国株式）,,情報・通信業,,,,,True
,1490,1490.T,合成1490,スタンダード（内国株式）,,サービス業,,,,,True
,1497,1497.T,合成1497,プライム（内国株式）,,食料品,,,,,True
,1504,1504.T,合成1504,プライム（内国株式）,,化学,,,,,True
,1511,1511.T,合成1511,スタンダード（内国株式）,,機械,,,,,True
,1518,1518.T,合成1518,プライム（内国株式）,,電気機器,,,,,True
,1525,1525.T,合成1525,プライム（内国株式）,,小売業,,,,,True
,1532,1532.T,合成1532,スタンダード（内国株式）,,情報・通信業,,,,,True
,1539,1539.T,合成1539,プライム（内国株式）,,サービス業,,,,,True
,1546,1546.T,合成1546,プライム（内国株式）,,食料品,,,,,True
,1553,1553.T,合成1553,スタンダード（内国株式）,,化学,,,,,True
,1560,1560.T,合成1560,プライム（内国株式）,,機械,,,,,True
,1567,1567.T,合成1567,プライム（内国株式）,,電気機器,,,,,True
,1574,1574.T,合成1574,スタンダード（内国株式）,,小売業,,,,,True
,1581,1581.T,合成1581,プライム（内国株式）,,情報・通信業,,,,,True
,1588,1588.T,合成1588,プライム（内国株式）,,サービス業,,,,,True
,1595,1595.T,合成1595,スタンダード（内国株式）,,食料品,,,,,True
,1602,1602.T,合成1602,プライム（内国株式）,,化学,,,,,True
,1609,1609.T,合成1609,プライム（内国株式）,,機械,,,,,True
,1616,1616.T,合成1616,スタンダード（内国株式）,,電気機器,,,,,True
,1623,1623.T,合成1623,プライム（内国株式）,,小売業,,,,,True
,1630,1630.T,合成1630,プライム（内国株式）,,情報・通信業,,,,,True
,1637,1637.T,合成1637,スタンダード（内国株式）,,サービス業,,,,,True
,1644,1644.T,合成1644,プライム（内国株式）,,食料品,,,,,True
,1651,1651.T,合成1651,プライム（内国株式）,,化学,,,,,True
,1658,1658.T,合成1658,スタンダード（内国株式）,,機械,,,,,True
,1665,1665.T,合成1665,プライム（内国株式）,,電気機器,,,,,True
,1672,1672.T,合成1672,プライム（内国株式）,,小売業,,,,,True
,1679,1679.T,合成1679,スタンダード（内国株式）,,情報・通信業,,,,,True
,1686,1686.T,合成1686,プライム（内国株式）,,サービス業,,,,,True
,1693,1693.T,合成1693,プライム（内国株式）,,食料品,,,,,True
,1700,1700.T,合成1700,スタンダード（内国株式）,,化学,,,,,True
,1707,1707.T,合成1707,プライム（内国株式）,,機械,,,,,True
,1714,1714.T,合成1714,プライム（内国株式）,,電気機器,,,,,True
